epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,3400.16,0.8821,0.65358,1.16886,0.89911,0.84725,0.9202,0.66366,0.97935,0.60211,1.24351,0.000627292,0.000627292,0.000627292
65,3450.66,0.89523,0.65496,1.17383,0.90096,0.85052,0.91902,0.66266,0.98313,0.5986,1.24873,0.000610789,0.000610789,0.000610789
66,3501.8,0.8775,0.64848,1.15741,0.90559,0.84686,0.92144,0.66251,0.98508,0.60354,1.25211,0.000594286,0.000594286,0.000594286
67,3552.37,0.87404,0.63907,1.16035,0.89803,0.8463,0.91935,0.65594,0.99598,0.60436,1.26444,0.000577782,0.000577782,0.000577782
68,3603.69,0.87258,0.63179,1.15906,0.88687,0.85773,0.92013,0.66203,0.9887,0.59737,1.25406,0.000561279,0.000561279,0.000561279
69,3655.35,0.87467,0.63103,1.16246,0.91322,0.84313,0.92106,0.66101,0.98329,0.59369,1.2507,0.000544776,0.000544776,0.000544776
70,3710.21,0.87343,0.625,1.1567,0.90961,0.84627,0.92331,0.66393,0.98767,0.58885,1.25374,0.000528272,0.000528272,0.000528272
71,3761.32,0.87493,0.62257,1.16115,0.8989,0.8505,0.91972,0.66098,0.99719,0.60258,1.25349,0.000511769,0.000511769,0.000511769
72,3811.33,0.86096,0.62525,1.15197,0.90149,0.84804,0.91955,0.65875,1.00177,0.59928,1.26657,0.000495266,0.000495266,0.000495266
73,3862.36,0.86343,0.62158,1.14936,0.91413,0.83944,0.92393,0.66364,0.98603,0.58659,1.25006,0.000478762,0.000478762,0.000478762
74,3913.39,0.85871,0.60828,1.14781,0.90984,0.85516,0.9244,0.66418,0.98287,0.57874,1.2553,0.000462259,0.000462259,0.000462259
75,3962.66,0.85619,0.60444,1.15015,0.9012,0.86093,0.92146,0.66234,0.97958,0.58516,1.2511,0.000445756,0.000445756,0.000445756
76,4012.89,0.85819,0.62436,1.14846,0.91394,0.85031,0.92255,0.66372,0.9784,0.59063,1.24422,0.000429253,0.000429253,0.000429253
77,4062.86,0.84801,0.60033,1.14281,0.90487,0.85987,0.92561,0.66914,0.97948,0.57514,1.24835,0.000412749,0.000412749,0.000412749
78,4112.14,0.84783,0.60299,1.14098,0.91301,0.85628,0.92627,0.66875,0.98241,0.5686,1.25226,0.000396246,0.000396246,0.000396246
79,4162.14,0.83527,0.593,1.13924,0.90131,0.86242,0.92553,0.67015,0.97702,0.57424,1.24636,0.000379743,0.000379743,0.000379743
80,4211.48,0.83968,0.5935,1.13926,0.89693,0.86614,0.92503,0.66874,0.98465,0.57741,1.24834,0.000363239,0.000363239,0.000363239
81,4262.21,0.8347,0.58252,1.13437,0.89206,0.86887,0.92267,0.6674,0.97815,0.57923,1.24312,0.000346736,0.000346736,0.000346736
82,4313.25,0.82487,0.5909,1.13682,0.91647,0.84999,0.92544,0.66842,0.97612,0.57559,1.25014,0.000330233,0.000330233,0.000330233
83,4362.8,0.82772,0.5817,1.13167,0.91202,0.85344,0.92643,0.66539,0.98104,0.57456,1.24875,0.000313729,0.000313729,0.000313729
84,4414.2,0.81941,0.56734,1.12562,0.90369,0.85769,0.9255,0.66639,0.97279,0.57147,1.24494,0.000297226,0.000297226,0.000297226
85,4462.74,0.8281,0.564,1.13101,0.90428,0.86037,0.92845,0.66965,0.97045,0.56123,1.24517,0.000280723,0.000280723,0.000280723
86,4507.89,0.82172,0.56499,1.12597,0.90433,0.8611,0.92664,0.67016,0.98129,0.56098,1.25279,0.00026422,0.00026422,0.00026422
87,4553.5,0.81554,0.56372,1.13027,0.90026,0.86152,0.92369,0.66659,0.98181,0.56756,1.254,0.000247716,0.000247716,0.000247716
88,4599.03,0.81231,0.55764,1.12192,0.90583,0.86369,0.927,0.67087,0.98428,0.56208,1.25374,0.000231213,0.000231213,0.000231213
89,4645.63,0.80747,0.5518,1.11821,0.91679,0.85214,0.92527,0.66863,0.98382,0.56305,1.25505,0.00021471,0.00021471,0.00021471
90,4690.45,0.80351,0.54509,1.11643,0.89621,0.87,0.92541,0.67166,0.98498,0.5625,1.25343,0.000198206,0.000198206,0.000198206
91,4825.83,0.72334,0.41876,1.08201,0.90186,0.85083,0.91634,0.66132,0.98916,0.58367,1.26507,0.000181703,0.000181703,0.000181703
92,4875.91,0.7123,0.40042,1.07404,0.88758,0.85915,0.91431,0.66101,0.98795,0.59065,1.26282,0.0001652,0.0001652,0.0001652
93,4926.32,0.70128,0.3963,1.06726,0.90821,0.84991,0.92291,0.66566,0.98814,0.57488,1.2633,0.000148696,0.000148696,0.000148696
94,4976.07,0.70041,0.38705,1.06689,0.91183,0.84387,0.92021,0.66516,0.9846,0.58099,1.25763,0.000132193,0.000132193,0.000132193
95,5024.58,0.69646,0.38404,1.06536,0.90773,0.84557,0.91967,0.66647,0.97793,0.58085,1.25575,0.00011569,0.00011569,0.00011569
96,5074.51,0.69709,0.38148,1.06598,0.89636,0.85992,0.91886,0.66613,0.98184,0.57077,1.2587,9.91865e-05,9.91865e-05,9.91865e-05
97,5124.93,0.68819,0.37827,1.04997,0.89003,0.85645,0.91905,0.66728,0.97801,0.5768,1.25637,8.26832e-05,8.26832e-05,8.26832e-05
98,5175.6,0.6837,0.37518,1.05043,0.90051,0.85523,0.92103,0.66841,0.98159,0.57101,1.26179,6.61799e-05,6.61799e-05,6.61799e-05
99,5226.08,0.67311,0.37125,1.04961,0.89651,0.86275,0.92337,0.66846,0.98271,0.57009,1.26272,4.96766e-05,4.96766e-05,4.96766e-05
100,5276.17,0.67499,0.3691,1.05257,0.89973,0.85894,0.92133,0.66849,0.98028,0.56855,1.26136,3.31733e-05,3.31733e-05,3.31733e-05
